neighborhood,address,units,stories,construction,apn,block,lot,last_permit,streetview,recorder_lookup
Central Richmond,300 16th Av,37,7,wood frame (5),1447042,1447,042,2026-07-21T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782256988,-122.475082325",https://sfassessor.org/ (search APN 1447042)
Central Richmond,4900 Fulton St,30,3,wood frame (5),1668018,1668,018,2025-06-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.772807725,-122.484488192",https://sfassessor.org/ (search APN 1668018)
Central Richmond,438 15th Av,24,4,wood frame (5),1530034,1530,034,2023-09-12T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779748457,-122.473572005",https://sfassessor.org/ (search APN 1530034)
Central Richmond,465 14th Av,24,3,wood frame (5),1530033,1530,033,2024-06-06T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779406727,-122.473133824",https://sfassessor.org/ (search APN 1530033)
Central Richmond,376 20th Av,22,3,wood frame (5),1451028,1451,028,1997-04-16T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780926214,-122.479088986",https://sfassessor.org/ (search APN 1451028)
Central Richmond,174 20th Av,20,0,,1379041,1379,041,1992-06-16T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784649955,-122.479358994",https://sfassessor.org/ (search APN 1379041)
Central Richmond,175 21st Av,20,3,wood frame (5),1381012,1381,012,1998-09-18T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784548045,-122.481089097",https://sfassessor.org/ (search APN 1381012)
Central Richmond,801 25th Av,20,20,wood frame (5),1668001,1668,001,1995-02-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.774179694,-122.484531499",https://sfassessor.org/ (search APN 1668001)
Central Richmond,140 20th Av,18,3,wood frame (5),1379030,1379,030,2025-07-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785317581,-122.479407432",https://sfassessor.org/ (search APN 1379030)
Central Richmond,295 21st Av,18,4,wood frame (5),1412014,1412,014,2023-11-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782455281,-122.480754926",https://sfassessor.org/ (search APN 1412014)
Central Richmond,375 14th Av,18,4,wood frame (5),1446019,1446,019,2023-06-01T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781125743,-122.473228113",https://sfassessor.org/ (search APN 1446019)
Central Richmond,4100 Fulton St,16,3,wood frame (5),1660019A,1660,019A,1993-06-28T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773130385,-122.475896433",https://sfassessor.org/ (search APN 1660019A)
Central Richmond,5150 Geary Bl,16,3,wood frame (5),1447049,1447,049,2025-04-22T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780855624,-122.474762381",https://sfassessor.org/ (search APN 1447049)
Central Richmond,1345 Clement St,15,3,wood frame (5),1446048,1446,048,2025-02-28T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78226892,-122.473792401",https://sfassessor.org/ (search APN 1446048)
Central Richmond,1600 Clement St,15,3,wood frame (5),1416019,1416,019,2025-08-27T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782578121,-122.4766466",https://sfassessor.org/ (search APN 1416019)
Central Richmond,2046 Clement St,15,3,wood frame (5),1412020,1412,020,2007-07-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782425427,-122.481411334",https://sfassessor.org/ (search APN 1412020)
Central Richmond,2120 Clement St,15,4,wood frame (5),1411010,1411,010,2017-10-31T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782393014,-122.482087677",https://sfassessor.org/ (search APN 1411010)
Central Richmond,2150 Balboa St,15,4,wood frame (5),1565012G,1565,012G,2023-02-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.776588383,-122.482067697",https://sfassessor.org/ (search APN 1565012G)
Central Richmond,266 21st Av,15,4,wood frame (5),1413047,1413,047,2025-03-03T19:04:59.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782889043,-122.48030985",https://sfassessor.org/ (search APN 1413047)
Central Richmond,355 24th Av,15,4,wood frame (5),1409052,1409,052,2017-03-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78284927,-122.484189685",https://sfassessor.org/ (search APN 1409052)
Central Richmond,359 20th Av,15,4,wood frame (5),1452047,1452,047,2023-05-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781110981,-122.479761481",https://sfassessor.org/ (search APN 1452047)
Central Richmond,376 21st Av,15,3,wood frame (5),1452046,1452,046,2026-04-16T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780955056,-122.480167583",https://sfassessor.org/ (search APN 1452046)
Central Richmond,4930 Fulton St,15,3,wood frame (5),1668018D,1668,018D,2008-12-02T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.772799592,-122.484737363",https://sfassessor.org/ (search APN 1668018D)
Central Richmond,4950 Fulton St,15,3,wood frame (5),1668018A,1668,018A,2024-10-10T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.772716323,-122.484984144",https://sfassessor.org/ (search APN 1668018A)
Central Richmond,5950 California St,15,3,wood frame (5),1381020A,1381,020A,1985-12-11T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784163289,-122.481619263",https://sfassessor.org/ (search APN 1381020A)
Central Richmond,205 16th Av,14,4,wood frame (5),1417001,1417,001,2022-12-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784078564,-122.475567064",https://sfassessor.org/ (search APN 1417001)
Central Richmond,370 23rd Av,14,3,wood frame (5),1454023,1454,023,2025-03-20T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780892087,-122.482312689",https://sfassessor.org/ (search APN 1454023)
Central Richmond,3910 Fulton St,14,4,wood frame (5),1658014,1658,014,2025-08-04T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773298802,-122.473742196",https://sfassessor.org/ (search APN 1658014)
Central Richmond,411 15th Av,14,3,wood frame (5),1529001,1529,001,2025-03-13T13:56:06.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78025905,-122.474215276",https://sfassessor.org/ (search APN 1529001)
Central Richmond,525 22nd Av,14,3,wood frame (5),1565002A,1565,002A,1984-08-09T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.777807667,-122.481674453",https://sfassessor.org/ (search APN 1565002A)
Central Richmond,595 22nd Av,14,4,wood frame (5),1565012B,1565,012B,2017-08-24T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.776618986,-122.481395143",https://sfassessor.org/ (search APN 1565012B)
Central Richmond,430 15th Av,13,4,wood frame (5),1530023,1530,023,2026-06-30T15:43:38.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.779897088,-122.473591132",https://sfassessor.org/ (search APN 1530023)
Central Richmond,1445 Lake St,12,3,wood frame (5),1375049,1375,049,2017-04-24T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785954526,-122.475099084",https://sfassessor.org/ (search APN 1375049)
Central Richmond,1550 Clement St,12,3,wood frame (5),1417017,1417,017,1990-01-11T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.78257345,-122.475989707",https://sfassessor.org/ (search APN 1417017)
Central Richmond,159 19th Av,12,3,wood frame (5),1379010,1379,010,2023-06-30T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784882646,-122.47895953",https://sfassessor.org/ (search APN 1379010)
Central Richmond,171 19th Av,12,4,wood frame (5),1379013,1379,013,2016-01-21T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784668786,-122.478944015",https://sfassessor.org/ (search APN 1379013)
Central Richmond,1835 Lake St,12,3,wood frame (5),1379042,1379,042,2022-12-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785761147,-122.479362036",https://sfassessor.org/ (search APN 1379042)
Central Richmond,195 20th Av,12,3,wood frame (5),1380039,1380,039,2022-04-19T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784375193,-122.479816056",https://sfassessor.org/ (search APN 1380039)
Central Richmond,195 20th Av,12,3,wood frame (5),1380048,1380,048,2011-07-19T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784375193,-122.479816056",https://sfassessor.org/ (search APN 1380048)
Central Richmond,195 20th Av,12,4,wood frame (5),1380043,1380,043,2022-05-19T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784375193,-122.479816056",https://sfassessor.org/ (search APN 1380043)
Central Richmond,195 20th Av,12,4,wood frame (5),1380042,1380,042,2025-09-26T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784375193,-122.479816056",https://sfassessor.org/ (search APN 1380042)
Central Richmond,2045 Cabrillo St,12,4,wood frame (5),1664043,1664,043,2020-02-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.774425042,-122.480815086",https://sfassessor.org/ (search APN 1664043)
Central Richmond,2201 Lake St,12,4,constr type 4,1383001,1383,001,2023-03-23T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785586577,-122.483207431",https://sfassessor.org/ (search APN 1383001)
Central Richmond,221 24th Av,12,4,wood frame (5),1384002,1384,002,2024-05-23T14:24:07.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785335543,-122.484381415",https://sfassessor.org/ (search APN 1384002)
