company,website,platform,live_listings_found,buildings_mapped_from_registry,phones,emails,contact_pages,notes
Utopia Management SF,https://utopiamanagement.com/san-francisco-property-management,appfolio:utopiamanagement,300,0,(415) 579-1111 | (415) 963-0773 | 4155791111,,,
W. Property Management,https://www.wpropertymanagement.com/,appfolio:pureprop,42,0,,,https://northbay.purepm.co/property-management-north-bay/ | https://northbay.purepm.co/multifamily-commercial-property-management/,
Meridian Property Management Group,https://mmgprop.com/,,15,0,,,https://mmgprop.com/property-management-services/ | https://mmgprop.com/property-management-services/,
Bay Property Group,https://www.baypropertygroup.com/,appfolio:baypropertygroup,14,1,(510) 836-0110 | (510) 836-0660,daniel@baypropertygroup.com | ethan@baypropertygroup.com | jonas@baypropertygroup.com | lewis@baypropertygroup.com | philippe@baypropertygroup.com | shihlilu@gmail.com,https://www.baypropertygroup.com/management-services | https://www.baypropertygroup.com/our-team,
Structure Properties,https://structureproperties.com/,appfolio:spsf,14,0,(415) 237-6240 | 415-237-6240 | 4152376240,info@structureproperties.com,https://structureproperties.com/property-management-san-francisco-ca-bay-area/ | https://structureproperties.com/construction-management-san-francisco-bay-area/,
Chandler Properties,https://chandlerproperties.com/,appfolio:chandlerproperties,1,0,(415) 921 5733 | (415) 921-5733 | 415 921 5733 | 415-921-5733 | 4159215733,info@chandlerproperties.com | info@chandlerpropertymanagement.com,https://chandlerproperties.com/ | https://chandlerproperties.com/about/,
AMSI (American Marketing Systems),https://www.amsires.com/,,0,0,,hello@amsiemail.com,https://www.amsires.com/Property-management | https://www.amsires.com/contact-us,
Anchor Realty,https://anchorealtyinc.com/,,0,0,(415) 621-2700,,https://anchorealtyinc.com/contact-us/,
Ballast Investments / Prado Group Mgmt,https://www.ballastrock.com/,,0,0,,ir@ballastrock.com | press@ballastrock.com | user@domain.com,https://www.ballastrock.com/contact | https://www.ballastrock.com/contact,
Brick + Timber,https://www.brickandtimber.com/,,0,0,,,,homepage: <urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
Citywide Property Management,https://www.citywidesf.com/,,0,1,415.552.7300 | 4155527300,rentals@citywidesf.com,https://www.citywidesf.com/about-us | https://www.citywidesf.com/management-services,
Gaetani Real Estate,https://www.gaetanirealestate.com/,,0,0,(415) 668-1202 | 415-668-1202 | 415.668.1202,,https://www.gaetanirealestate.com/contact | https://www.gaetanirealestate.com/contact,
George Goodwin Realty,https://www.goodwinrealty.com/,,0,0,,,,homepage: <urlopen error [Errno 61] Connection refused>
Gordon Clifford Properties,https://www.gcpropertiessf.com/,,0,0,,,,
Greentree Property Management,https://www.greentreepmco.com/,,0,0,415-347-8600 | 415-754-4737 | 415.347.8600 | 415.754.4737,residentservices@greentreepmco.com,https://www.greentreepmco.com/about/ | https://www.greentreepmco.com/contact/,
Herzog Real Estate,https://www.herzogrealestate.com/,,0,0,,,,homepage: <urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
J. Wavro Property Management,https://www.jwavro.com/,,0,0,(415) 290-7080 | (415)608-8556 | 415 254 7188 | 415-215-3469 | 415-225-5061 | 415-225-9699,aimee@jwavro.com | artie@jwavro.com | bb@jwavro.com | bp@jwavro.com | ct@jwavro.com | db@jwavro.com,https://www.jwavro.com/us.php | https://www.jwavro.com/management.php,
Kenney & Everest Real Estate,https://www.kenneyandeverest.com/,,0,0,(415) 929-0616 | (415) 929-0717 | 4159290717,everest@everestmwamba.com,https://www.everestmwamba.com/about-us | https://www.everestmwamba.com/our-team,
Leading Properties,https://www.leading-sf.com/,,0,0,(415) 346-8600 | 415-346-8600,info@leading-sf.com,https://www.leading-sf.com/ | https://www.leading-sf.com/residential-property-management/,
Mosser Companies,https://www.mosserliving.com/,,0,0,415-673-1608 | 415.673.1608,,https://www.mosserliving.com/about/ | https://www.mosserliving.com/contact/,
Real Management Company,https://www.realmanagement.com/,,0,0,,,,
RentSFNow (Veritas),https://www.rentsfnow.com/,rentcafe,0,0,(415) 508-5370 | 415-347-8600 | 415-508-5370 | 415.347.8600 | 415.508.5370,insidesales@rentsfnow.com,https://www.rentsfnow.com/about/ | https://www.rentsfnow.com/meet-our-agents/,
Skyline PMG,https://www.skylinepmg.com/,appfolio:skylinepmg,0,0,(415) 422-9390 | 415-422-9390 | 4154229390,contact@skylinepmg.com,https://skylinepmg.com/consulting/ | https://skylinepmg.com/contact-us/,
Vertex Property Group,https://www.vertexsf.com/,,0,0,(415) 965-7844 | 4159657844,,https://www.vertexsf.com/about/ | https://www.vertexsf.com/contact-us/,
