neighborhood,in_criteria,address,rent,company,light_words,wood_floors,available,title,url
Mission,yes,3640 18th St,2900,Meridian Property Management Group,,,,,https://mmgprop.com/properties/857-Apartment-3640-18th-St-San-Francisco-California-United-States-94110-1-Bedroom-1-Bathroom-USD2-900/
Nob Hill,yes,887 Bush St,2750,Meridian Property Management Group,,,,,https://mmgprop.com/properties/966-Apartment-887-Bush-St-San-Francisco-California-United-States-94109-1-Bedroom-1-Bathroom-USD2-750/
South of Market,,957 Mission Street,1400,Meridian Property Management Group,,,,,https://mmgprop.com/properties/990-Apartment-957-Mission-Street-San-Francisco-California-United-States-94103-1-Bedroom-1-Bathroom-USD1-400/
Chinatown,,"858 WASHINGTON ST # 132-133, SAN FRANCISCO, CA 94108",1500,Structure Properties,top floor,,NOW,"Top Floor, Renovated 1 BED with a Private Kitchen with Rooftop Views",https://spsf.appfolio.com/listings/detail/cb6445b5-ba86-471a-97aa-0b632371b9b4
Tenderloin,,444 Larkin Street,1800,Meridian Property Management Group,,,,,https://mmgprop.com/properties/309-Apartment-444-Larkin-Street-San-Francisco-California-United-States-94102-1-Bedroom-1-Bathroom-USD1-800/
Tenderloin,,837 Geary Street,1800,Meridian Property Management Group,,,,,https://mmgprop.com/properties/308-Apartment-837-Geary-Street-San-Francisco-California-United-States-94109-1-Bedroom-1-Bathroom-USD1-800/
Tenderloin,,500 Hyde Street,2100,Meridian Property Management Group,,,,,https://mmgprop.com/properties/52-Apartment-500-Hyde-Street-San-Francisco-California-United-States-94109-1-Bedroom-1-Bathroom-USD2-100/
unresolved,,314 Perkins St 314 Perkins St,2150,Meridian Property Management Group,,,,,https://mmgprop.com/properties/916-Apartment-314-Perkins-St-314-Perkins-St-California-United-States-94610-1-Bedroom-1-Bathroom-USD2-150/
unresolved,,"Hotel Ikon - 519, 325 Sutter Street, San Francisco, CA 94108",2300,Structure Properties,,,NOW,Furnished Rooms in Union Square!!,https://spsf.appfolio.com/listings/detail/9209809b-c202-4f9c-8bb7-2a0ec146c591
South of Market,,"529 Stevenson Street #415, San Francisco, CA 94103",2602,Structure Properties,,,NOW,,https://spsf.appfolio.com/listings/detail/0cee2c93-54e3-4cf5-9e5d-00d1bc52f36f
South of Market,,"550 Jessie Street #114, San Francisco, CA 94103",2895,Structure Properties,,,NOW,Modern Living with Standing Loft and Office Space!!,https://spsf.appfolio.com/listings/detail/852dd749-e1d1-43dd-a40d-343b2492ef90
South of Market,,"550 Jessie Street #117, San Francisco, CA 94103",2895,Structure Properties,,,NOW,Live a modern life style!!,https://spsf.appfolio.com/listings/detail/d87730cf-3f63-43cb-a80e-95aee150de7c
unresolved,,"2252-1 Fulton St., San Francisco, CA 94117",3250,Bay Property Group,bright,,8/15/26,UPDATED BRIGHT 600sf 1BR/1BA Flat USF GG Park AVAILABLE NOW,https://baypropertygroup.appfolio.com/listings/detail/4ad92aba-f5f2-4a48-8a30-e0aa0e25181e
unresolved,,"206 Cornwall Street, San Francisco, CA 94118",3495,Structure Properties,,,9/8/26,Charming One Bedroom in Inner Richmond!,https://spsf.appfolio.com/listings/detail/4bf587c6-8c39-4d15-b475-cc48f8f10539
Western Addition,,"1855 California St - 2, San Francisco, CA 94109",3795,Bay Property Group,bright,,8/15/26,BRIGHT UPDATED Pacific Heights/Lafayette Park1BR/1BA Pac Apt AVAILABLE NOW,https://baypropertygroup.appfolio.com/listings/detail/022f3238-f444-4f28-a055-cbdfbf9b4a01
Castro/Upper Market,,"1222 Clayton St. Apt 25, San Francisco, CA 94114",3895,Chandler Properties,light-filled,,NOW,Charming light-filled One bedroom w/ balcony,https://chandlerproperties.appfolio.com/listings/detail/8e79b8f4-60d3-49bb-8813-c088fc2fb4a2
