company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
Sf Owner LLC,74,2,"Haight Ashbury, Inner Richmond, Mission, Nob Hill, Outer Richmond","531110, 531311",Sf Owner LLC,"351 California St Fl 14, San Francisco, 94104","100 Broderick St, San Francisco | 1020 Post St, San Francisco | 1050 Post St, San Francisco"
"Sf Apartments Investor Holdings, LLC",63,4,"Haight Ashbury, Inner Richmond, Mission, Nob Hill, Noe Valley, Outer Richmond",531110,"19th 4030 Owner, Lp | 21st 175 Owner, Lp | 23rd 4475 Owner, Lp","1258 Po Box, Portsmouth, 03802","10 Glendale St, San Francisco | 100 Lake St, San Francisco | 1015 Pierce St, San Francisco"
Cbre Inc,41,4,,531390,"Cb Richard Ellis Inc | Cbre Inc | Cbre, Inc","2375 N Glenville Dr Bldg A2fl, Richardson, 75082","1 California St #102, San Francisco | 1 Maritime Plz Ste 1660, San Francisco | 1 Post St Fl 32, San Francisco"
Dewolf Realty Co,37,6,"Haight Ashbury, Inner Richmond, Mission, Nob Hill, Noe Valley, Outer Richmond",531110,Dewolf Realty Co,"4330 Po Box 591540, San Francisco, 94159","1 Toledo Way, San Francisco | 1140 Pine St, San Francisco | 138 Clinton Park #140, San Francisco"
Del Camp Investments Inc,36,4,"Mission, Nob Hill, Noe Valley, Outer Richmond",531110,1290 Hayes Apts | 1333 Castro Bldg | 1367-1373 Hayes Apts,"2120 Market St Ste 100, San Francisco, 94114","1290 Hayes St, San Francisco | 1333 Castro St, San Francisco | 1367 Hayes St, San Francisco"
Castellucci Antonio,32,4,"Inner Richmond, Mission, Nob Hill, Outer Richmond",531311,1103-1113 Treat Ave | 1103-1113 Treat Ave - Commercial | 1152 Jackson St,"1757 Union St, San Francisco, 94123","1103 -111 Treat Ave, San Francisco | 1152 Jackson St, San Francisco | 1207 Chestnut St, San Francisco"
"Sf Multifamily Pool 2-3 (B) Owner, LLC",32,2,"Haight Ashbury, Mission, Nob Hill",531110,"Sf Multifamily Pool 2-3 (B) Owner, LLC","3288 21st St # Pmb 200, San Francisco, 94110","1046 Mason St, San Francisco | 1046 Pacific Ave, San Francisco | 1106 Bush St, San Francisco"
Fillmore Center Associates Lp,30,6,,531110,Fillmore Center | Fillmore Center Apt. | Fillmore Center Parking Garage,"1475 Fillmore St, San Francisco, 94115","1201 Fillmore St, San Francisco | 1301 Fillmore St, San Francisco | 1305 Fillmore St, San Francisco"
Blanding James,25,4,Mission,531210,1035 Ingerson Ave Apts | 1098 Le Conte Apts | 1215 Lane St Apts,"1674 Revere Ave, San Francisco, 94124","1035 Ingerson Ave, San Francisco | 1098 Le Conte Ave, San Francisco | 1215 Lane St, San Francisco"
Boschetti Giampaolo,23,4,"Haight Ashbury, Mission",531110,Giampaolo Boschett | Giampaolo Boschetti,"955 Prague St, San Francisco, 94112","1419 Fulton St, San Francisco | 1428 Hayes St, San Francisco | 156 Central Ave, San Francisco"
Del-Camp Investments Inc,23,4,"Mission, Nob Hill, Noe Valley, Outer Richmond",531110,1225 Jackson Street | 1290 Hayes Apts | 1367-1373 Hayes Apts,"2120 Market St Ste 100, San Francisco, 94114","1225 Jackson St, San Francisco | 1290 Hayes St, San Francisco | 1367 1373 Hayes St, San Francisco"
Ares Commercial Properties,21,6,"Mission, Nob Hill",531210,1118 Harrison St Bldg | 140 10th St Bldg | 142 10th St Bldg,"695 De Long Ave Ste 260, Novato, 94945","1118 Harrison St, San Francisco | 134 10th St # 140, San Francisco | 140 10th St, San Francisco"
"Sf Multifamily Pool 5 (C) Owner, LLC",21,2,"Haight Ashbury, Mission, Nob Hill",531110,"Sf Multifamily Pool 5 (C) Owner, LLC","3288 21st St # Pmb 200, San Francisco, 94110","1485 Clay St, San Francisco | 150 Franklin St, San Francisco | 1836 Mcallister St, San Francisco"
Mehan Properties LLC,19,6,,531110,1090 Francisco St Residential Apt Bldg | 1280 Lombard St Residential Apt Bld | 1425-1431 Kearny St Residential Apt Bldg,"145 Poplar Dr, Kentfield, 94904","1090 Francisco St, San Francisco | 1280 Lombard St, San Francisco | 1425 1431 Kearny St, San Francisco"
