neighborhood,address,units,confirmed_apartment,company,naics,company_buildings_in_target
Inner Richmond,100 Lake St,16,yes,"Sf Apartments Investor Holdings, LLC",531110,21
Inner Richmond,4540 California St,12,yes,Sf Owner LLC,"531110, 531311",18
Inner Richmond,325 9th Ave,,,Sf Owner LLC,"531110, 531311",18
Inner Richmond,370 4th Ave #372,,,Dewolf Realty Co,531110,14
Inner Richmond,4330 California St,,,Dewolf Realty Co,531110,14
Inner Richmond,80 7th Ave,,,Dewolf Realty Co,531110,14
Inner Richmond,4950 California St,12,yes,Castellucci Antonio,531311,13
Inner Richmond,1656 Anza St,4,yes,Castellucci Antonio,531311,13
Inner Richmond,4263 -429 California St,,,Castellucci Antonio,531311,13
Inner Richmond,4404 California St,,,Castellucci Antonio,531311,13
Inner Richmond,87 7th Ave,,,Castellucci Antonio,531311,13
Inner Richmond,200 4th Ave #214,,,Wai John E 1981 Lvg Trust,531110,9
Inner Richmond,758 2nd Ave #760,,,Unif Inc,53,8
Inner Richmond,4715 Geary Blvd,,,Mar Nancy A,531110,6
Inner Richmond,4719 Geary Blvd,,,Mar Nancy A,531110,6
Inner Richmond,276 8th Ave,,,Colabianchi Sebastian F,531110,5
Inner Richmond,4345 California St,,,Colabianchi Sebastian F,531110,5
Inner Richmond,4349 California St,,,Colabianchi Sebastian F,531110,5
Inner Richmond,832 Clement Street St,,,Donald Soohoo,53,5
Inner Richmond,836 Clement Street St,,,Donald Soohoo,53,5
Inner Richmond,840 Clement Street St,,,Donald Soohoo,53,5
Inner Richmond,844 Clement St,,,Donald Soohoo,53,5
Inner Richmond,848 Clement St,,,Donald Soohoo,53,5
Inner Richmond,4450 Geary Blvd,,,Khostovan Ali & Fatemah,53,5
Inner Richmond,180 4th Ave,,,The Gruber Family Partners,531110,5
Inner Richmond,107 11th Ave,,,Artal Family Lp,531110,4
Inner Richmond,300 2nd Ave,,,Govan Legacy LLC,531110,4
Inner Richmond,55 - 59 Clement St,,,Govan Legacy LLC,531110,4
Inner Richmond,4845 California St,5,yes,M&K Klestoff 1990 Family Trust,531110,4
Inner Richmond,3836 Geary Blvd #40,,,M&K Klestoff 1990 Family Trust,531110,4
Inner Richmond,217 Balboa St,,,Varni Anthony,531110,4
Inner Richmond,431 -433 Clement St,,,Danny Zheng,53,3
Inner Richmond,612 Clement St,,,Danny Zheng,53,3
Inner Richmond,616 Clement St,,,Danny Zheng,53,3
Inner Richmond,1700 Anza St,9,yes,Hoffman Sf Properties LLC,531110,3
Inner Richmond,483 8th Ave,,,Hoffman Sf Properties LLC,531110,3
Inner Richmond,385 7th Ave,,,Howard Jow,531110,3
Inner Richmond,480 8th Ave,,,Joal LLC,531110,3
Inner Richmond,670 9th Ave,,,Joal LLC,531110,3
Inner Richmond,4444 Geary Blvd,,,Jsm Sf Investments LLC,531110,3
Inner Richmond,184 Funston Ave,,,Marvin A Remmich,531110,3
Inner Richmond,714 Clement St #,3,yes,"Sellai Properties, LLC",53,3
Inner Richmond,281 8th Avenue Ave,,,"Sellai Properties, LLC",53,3
Inner Richmond,708 Clement Street St,,,"Sellai Properties, LLC",53,3
Inner Richmond,301 Clement St,,,Woo H/Woo J/Woo M/Lum H,53,3
Inner Richmond,307 4th Ave,,,Woo H/Woo J/Woo M/Lum H,53,3
Inner Richmond,309 4th Ave #200,,,Woo H/Woo J/Woo M/Lum H,53,3
Inner Richmond,180 7th Ave,,,Yip Elizabeth,531110,3
Inner Richmond,4454 California St,,,Yip Elizabeth,531110,3
Inner Richmond,206 Clement St,,,Yuk Leung-Chan,53,3
Inner Richmond,495 3rd Ave,,,2000 Kwei Sang & Michele A U Revocable Trust,531110,2
Inner Richmond,5017 California St Apt 3,3,yes,343 21st Ave LLC,531110,2
Inner Richmond,388 4th Ave #392,,,Alberts Robert F,53,2
Inner Richmond,3954 Geary Blvd,,,Alberts Robert F,53,2
