company,address,neighborhood,rent,beds,light_words,wood_floors,url
Bay Property Group,Remodeled Top Floor 1 bedroom for Rent  w/ Balcony,,2100,100,top floor,,https://baypropertygroup.appfolio.com/listings/detail/418f1c3f-e363-4e6c-8963-2e073c5ac600
Bay Property Group,Charming Corner Unit w/ NEW Hardwood Floors & Parking near Lake Merritt,,2100,100,corner unit,yes,https://baypropertygroup.appfolio.com/listings/detail/7e71cf32-a1f9-4186-b7a6-1d1993fc0de3
Meridian Property Management Group,957 Mission Street,South of Market,1400,1,,,https://mmgprop.com/properties/990-Apartment-957-Mission-Street-San-Francisco-California-United-States-94103-1-Bedroom-1-Bathroom-USD1-400/
Meridian Property Management Group,444 Larkin Street,Tenderloin,1800,1,,,https://mmgprop.com/properties/309-Apartment-444-Larkin-Street-San-Francisco-California-United-States-94102-1-Bedroom-1-Bathroom-USD1-800/
Meridian Property Management Group,837 Geary Street,Tenderloin,1800,1,,,https://mmgprop.com/properties/308-Apartment-837-Geary-Street-San-Francisco-California-United-States-94109-1-Bedroom-1-Bathroom-USD1-800/
Meridian Property Management Group,500 Hyde Street,Tenderloin,2100,1,,,https://mmgprop.com/properties/52-Apartment-500-Hyde-Street-San-Francisco-California-United-States-94109-1-Bedroom-1-Bathroom-USD2-100/
Meridian Property Management Group,887 Bush St,Nob Hill,2750,1,,,https://mmgprop.com/properties/966-Apartment-887-Bush-St-San-Francisco-California-United-States-94109-1-Bedroom-1-Bathroom-USD2-750/
Meridian Property Management Group,1229 Pacific Avenue Santa Rosa,,1695,1,,,https://mmgprop.com/properties/706-Apartment-1229-Pacific-Avenue-Santa-Rosa-California-United-States-95404-1-Bedroom-1-Bathroom-USD1-695/
Meridian Property Management Group,833 Sonoma Ave Santa Rosa,,1725,1,,,https://mmgprop.com/properties/742-Apartment-833-Sonoma-Ave-Santa-Rosa-California-United-States-95404-1-Bedroom-1-Bathroom-USD1-725/
Meridian Property Management Group,1918 Lakeshore Avenue Oakland,,1950,1,,,https://mmgprop.com/properties/758-Apartment-1918-Lakeshore-Avenue-Oakland-California-United-States-94606-1-Bedroom-1-Bathroom-USD1-950/
Meridian Property Management Group,1470 Alice Oakland,,2000,1,,,https://mmgprop.com/properties/795-Apartment-1470-Alice-Oakland-California-United-States-94612-1-Bedroom-1-Bathroom-USD2-000/
Meridian Property Management Group,314 Perkins St 314 Perkins St,,2150,1,,,https://mmgprop.com/properties/916-Apartment-314-Perkins-St-314-Perkins-St-California-United-States-94610-1-Bedroom-1-Bathroom-USD2-150/
Meridian Property Management Group,400 Orange Street Oakland,,2150,1,,,https://mmgprop.com/properties/654-Apartment-400-Orange-Street-Oakland-California-United-States-1-Bedroom-1-Bathroom-USD2-150/
Meridian Property Management Group,315 Wayne Pl Oakland,,2195,1,,,https://mmgprop.com/properties/856-Apartment-315-Wayne-Pl-Oakland-California-United-States-94606-1-Bedroom-1-Bathroom-USD2-195/
Meridian Property Management Group,2440 8th Avenue Oakland,,2650,1,,,https://mmgprop.com/properties/982-Apartment-2440-8th-Avenue-Oakland-California-United-States-94606-1-Bedroom-1-Bathroom-USD2-650/
Meridian Property Management Group,528 Thomas L Berkley Wy Oakland,,2650,1,,,https://mmgprop.com/properties/809-Apartment-528-Thomas-L-Berkley-Wy-Oakland-California-United-States-94612-1-Bedroom-1-Bathroom-USD2-650/
Meridian Property Management Group,3640 18th St,,2900,1,,,https://mmgprop.com/properties/857-Apartment-3640-18th-St-San-Francisco-California-United-States-94110-1-Bedroom-1-Bathroom-USD2-900/
